state,city,dealer_count
AK,Anchorage,1
AK,Fairbanks,1
AK,Juneau,1
AL,Birmingham,2
AL,Mobile,2
AL,Albertville,1
AL,Anniston,1
AL,Auburn,1
AL,Clanton,1
AL,Daphne,1
AL,Decatur,1
AL,Dothan,1
AL,Enterprise,1
AL,Hoover,1
AL,Huntsville,1
AL,Jasper,1
AL,Montgomery,1
AL,Rainbow City,1
AL,Scottsboro,1
AL,Sylacauga,1
AL,Tuscaloosa,1
AL,Tuscumbia,1
AR,Little Rock,2
AR,Conway,1
AR,El Dorado,1
AR,Fayetteville,1
AR,Fort Smith,1
AR,Harrison,1
AR,Hot Springs,1
AR,Jonesboro,1
AR,Monticello,1
AR,Pine Bluff,1
AR,Rogers,1
AR,Russellville,1
AR,Searcy,1
AR,Wynne,1
AZ,Mesa,2
AZ,Phoenix,2
AZ,Tucson,2
AZ,Avondale,1
AZ,Chandler,1
AZ,Flagstaff,1
AZ,Lake Havasu City,1
AZ,Peoria,1
AZ,Prescott,1
AZ,Scottsdale,1
AZ,Show Low,1
AZ,Sierra Vista,1
AZ,Surprise,1
AZ,Tempe,1
AZ,Yuma,1
CA,San Diego,3
CA,Bakersfield,2
CA,Long Beach,2
CA,Los Angeles,2
CA,Oakland,2
CA,San Jose,2
CA,Alhambra,1
CA,Anaheim,1
CA,Antioch,1
CA,Auburn,1
CA,Barstow,1
CA,Berkeley,1
CA,Bishop,1
CA,Buena Park,1
CA,Burlingame,1
CA,Capitola,1
CA,Carlsbad,1
CA,Carson,1
CA,Cathedral City,1
CA,Cerritos,1
CA,Chico,1
CA,Chula Vista,1
CA,City Of Industry,1
CA,Claremont,1
CA,Clovis,1
CA,Concord,1
CA,Corona,1
CA,Costa Mesa,1
CA,Covina,1
CA,Culver City,1
CA,Daly City,1
CA,Davis,1
CA,Downey,1
CA,Dublin,1
CA,El Cajon,1
CA,El Monte,1
CA,Elk Grove,1
CA,Escondido,1
CA,Eureka,1
CA,Fairfield,1
CA,Folsom,1
CA,Fremont,1
CA,Fresno,1
CA,Garden Grove,1
CA,Gardena,1
CA,Gilroy,1
CA,Glendale,1
CA,Glendora,1
CA,Goleta,1
CA,Hanford,1
CA,Hayward,1
CA,Hemet,1
CA,Hollywood,1
CA,Huntington Beach,1
CA,Imperial,1
CA,Indio,1
CA,Irvine,1
CA,La Crescenta,1
CA,Lake Tahoe,1
CA,Lancaster,1
CA,Lemon Grove,1
